,country,year,life_stage,deaths
5546,United Arab Emirates,2016,Year 1-4,107.0
5550,United Kingdom,1990,Year 1-4,1074.0
5576,United Kingdom,2016,Year 1-4,501.0
5580,United States,1990,Year 1-4,7021.0
5606,United States,2016,Year 1-4,3842.0
5610,Uruguay,1990,Year 1-4,154.0
5636,Uruguay,2016,Year 1-4,55.0
5640,Uzbekistan,1990,Year 1-4,8533.0
5666,Uzbekistan,2016,Year 1-4,1309.0
5670,Vanuatu,1990,Year 1-4,32.0
5696,Vanuatu,2016,Year 1-4,36.0
5700,Venezuela,1990,Year 1-4,2680.0
5726,Venezuela,2016,Year 1-4,1831.0
5730,Vietnam,1990,Year 1-4,27684.0
5756,Vietnam,2016,Year 1-4,6851.0
5760,World,1990,Year 1-4,3778117.0
5786,World,2016,Year 1-4,1459614.0
5790,Yemen,1990,Year 1-4,21132.0
5816,Yemen,2016,Year 1-4,11987.0
5820,Zambia,1990,Year 1-4,25065.0
5846,Zambia,2016,Year 1-4,11571.0
5850,Zimbabwe,1990,Year 1-4,10539.0
5876,Zimbabwe,2016,Year 1-4,8442.0
5880,Afghanistan,1990,Day 28-364,30929.0
5906,Afghanistan,2016,Day 28-364,30887.0
5910,Albania,1990,Day 28-364,1524.0
5936,Albania,2016,Day 28-364,93.0
5940,Algeria,1990,Day 28-364,19201.0
5966,Algeria,2016,Day 28-364,5629.0
5970,Andorra,1990,Day 28-364,1.0
5996,Andorra,2016,Day 28-364,0.0
6000,Angola,1990,Day 28-364,31715.0
6026,Angola,2016,Day 28-364,21055.0
6030,Antigua and Barbuda,1990,Day 28-364,3.0
6056,Antigua and Barbuda,2016,Day 28-364,3.0
6060,Argentina,1990,Day 28-364,6216.0
6086,Argentina,2016,Day 28-364,2553.0
6090,Armenia,1990,Day 28-364,1361.0
6116,Armenia,2016,Day 28-364,162.0
6120,Australia,1990,Day 28-364,784.0
6146,Australia,2016,Day 28-364,303.0
6150,Austria,1990,Day 28-364,304.0
6176,Austria,2016,Day 28-364,74.0
6180,Azerbaijan,1990,Day 28-364,6796.0
6206,Azerbaijan,2016,Day 28-364,1511.0
6210,Bahamas,1990,Day 28-364,34.0
6236,Bahamas,2016,Day 28-364,15.0
6240,Bahrain,1990,Day 28-364,119.0
6266,Bahrain,2016,Day 28-364,52.0
6270,Bangladesh,1990,Day 28-364,134885.0
6296,Bangladesh,2016,Day 28-364,19009.0
6300,Barbados,1990,Day 28-364,14.0
6326,Barbados,2016,Day 28-364,7.0
6330,Belarus,1990,Day 28-364,684.0
6356,Belarus,2016,Day 28-364,213.0
6360,Belgium,1990,Day 28-364,470.0
6386,Belgium,2016,Day 28-364,129.0
6390,Belize,1990,Day 28-364,84.0
6416,Belize,2016,Day 28-364,32.0
6420,Benin,1990,Day 28-364,13042.0
6446,Benin,2016,Day 28-364,12482.0
6450,Bhutan,1990,Day 28-364,754.0
6476,Bhutan,2016,Day 28-364,108.0
6480,Bolivia,1990,Day 28-364,9427.0
6506,Bolivia,2016,Day 28-364,3343.0
6510,Bosnia and Herzegovina,1990,Day 28-364,134.0
6536,Bosnia and Herzegovina,2016,Day 28-364,22.0
6540,Botswana,1990,Day 28-364,662.0
6566,Botswana,2016,Day 28-364,499.0
6570,Brazil,1990,Day 28-364,109468.0
6596,Brazil,2016,Day 28-364,28820.0
6600,Brunei,1990,Day 28-364,22.0
6626,Brunei,2016,Day 28-364,21.0
6630,Bulgaria,1990,Day 28-364,742.0
6656,Bulgaria,2016,Day 28-364,176.0
6660,Burkina Faso,1990,Day 28-364,26442.0
6686,Burkina Faso,2016,Day 28-364,30904.0
6690,Burundi,1990,Day 28-364,14636.0
6716,Burundi,2016,Day 28-364,9884.0
6720,Cambodia,1990,Day 28-364,20712.0
6746,Cambodia,2016,Day 28-364,4311.0
6750,Cameroon,1990,Day 28-364,17294.0
6776,Cameroon,2016,Day 28-364,21903.0
6780,Canada,1990,Day 28-364,937.0
6806,Canada,2016,Day 28-364,485.0
6810,Cape Verde,1990,Day 28-364,345.0
6836,Cape Verde,2016,Day 28-364,65.0
6840,Central African Republic,1990,Day 28-364,8157.0
6866,Central African Republic,2016,Day 28-364,8679.0
6870,Chad,1990,Day 28-364,19217.0
6896,Chad,2016,Day 28-364,27012.0
6900,Chile,1990,Day 28-364,2125.0
6926,Chile,2016,Day 28-364,500.0
6930,China,1990,Day 28-364,645104.0
6956,China,2016,Day 28-364,64084.0
6960,Colombia,1990,Day 28-364,9314.0
6986,Colombia,2016,Day 28-364,3463.0
6990,Comoros,1990,Day 28-364,853.0
7016,Comoros,2016,Day 28-364,260.0
7020,Congo,1990,Day 28-364,3177.0
7046,Congo,2016,Day 28-364,1718.0
7050,Cook Islands,1990,Day 28-364,3.0
7076,Cook Islands,2016,Day 28-364,0.0
7080,Costa Rica,1990,Day 28-364,444.0
7106,Costa Rica,2016,Day 28-364,141.0
7110,Cote d'Ivoire,1990,Day 28-364,27294.0
7136,Cote d'Ivoire,2016,Day 28-364,14227.0
7140,Croatia,1990,Day 28-364,156.0
7166,Croatia,2016,Day 28-364,37.0
7170,Cuba,1990,Day 28-364,782.0
7196,Cuba,2016,Day 28-364,213.0
7200,Cyprus,1990,Day 28-364,59.0
7226,Cyprus,2016,Day 28-364,13.0
7230,Czechia,1990,Day 28-364,450.0
7256,Czechia,2016,Day 28-364,109.0
7260,Democratic Republic of Congo,1990,Day 28-364,107516.0
7286,Democratic Republic of Congo,2016,Day 28-364,64642.0
7290,Denmark,1990,Day 28-364,186.0
7316,Denmark,2016,Day 28-364,48.0
7320,Djibouti,1990,Day 28-364,834.0
7346,Djibouti,2016,Day 28-364,582.0
7350,Dominica,1990,Day 28-364,8.0
7376,Dominica,2016,Day 28-364,5.0
7380,Dominican Republic,1990,Day 28-364,6088.0
7406,Dominican Republic,2016,Day 28-364,1396.0
7410,Ecuador,1990,Day 28-364,4251.0
7436,Ecuador,2016,Day 28-364,1868.0
7440,Egypt,1990,Day 28-364,60214.0
7466,Egypt,2016,Day 28-364,18921.0
7470,El Salvador,1990,Day 28-364,3638.0
7496,El Salvador,2016,Day 28-364,563.0
7500,Equatorial Guinea,1990,Day 28-364,1277.0
7526,Equatorial Guinea,2016,Day 28-364,503.0
7530,Eritrea,1990,Day 28-364,6199.0
7556,Eritrea,2016,Day 28-364,2914.0
7560,Estonia,1990,Day 28-364,105.0
7586,Estonia,2016,Day 28-364,14.0
7590,Eswatini,1990,Day 28-364,907.0
7616,Eswatini,2016,Day 28-364,726.0
7620,Ethiopia,1990,Day 28-364,139038.0
7646,Ethiopia,2016,Day 28-364,50955.0
7650,Fiji,1990,Day 28-364,147.0
7676,Fiji,2016,Day 28-364,118.0
7680,Finland,1990,Day 28-364,119.0
7706,Finland,2016,Day 28-364,34.0
7710,France,1990,Day 28-364,2690.0
7736,France,2016,Day 28-364,764.0
7740,Gabon,1990,Day 28-364,1065.0
7766,Gabon,2016,Day 28-364,367.0
7770,Gambia,1990,Day 28-364,1302.0
7796,Gambia,2016,Day 28-364,656.0
7800,Georgia,1990,Day 28-364,1254.0
7826,Georgia,2016,Day 28-364,187.0
7830,Germany,1990,Day 28-364,2847.0
7856,Germany,2016,Day 28-364,717.0
7860,Ghana,1990,Day 28-364,17847.0
7886,Ghana,2016,Day 28-364,12814.0
7890,Greece,1990,Day 28-364,265.0
7916,Greece,2016,Day 28-364,127.0
7920,Grenada,1990,Day 28-364,14.0
7946,Grenada,2016,Day 28-364,5.0
7950,Guatemala,1990,Day 28-364,8672.0
7976,Guatemala,2016,Day 28-364,4000.0
7980,Guinea,1990,Day 28-364,18598.0
8006,Guinea,2016,Day 28-364,13100.0
8010,Guinea-Bissau,1990,Day 28-364,2391.0
8036,Guinea-Bissau,2016,Day 28-364,1159.0
8040,Guyana,1990,Day 28-364,294.0
8066,Guyana,2016,Day 28-364,83.0
8070,Haiti,1990,Day 28-364,13683.0
8096,Haiti,2016,Day 28-364,7623.0
8100,Honduras,1990,Day 28-364,3655.0
8126,Honduras,2016,Day 28-364,1083.0
8130,Hungary,1990,Day 28-364,542.0
8156,Hungary,2016,Day 28-364,134.0
8160,Iceland,1990,Day 28-364,7.0
8186,Iceland,2016,Day 28-364,2.0
8190,India,1990,Day 28-364,712842.0
8216,India,2016,Day 28-364,218868.0
8220,Indonesia,1990,Day 28-364,145780.0
8246,Indonesia,2016,Day 28-364,32731.0
8250,Iran,1990,Day 28-364,41117.0
8276,Iran,2016,Day 28-364,5770.0
8280,Iraq,1990,Day 28-364,14206.0
8306,Iraq,2016,Day 28-364,3850.0
8310,Ireland,1990,Day 28-364,146.0
8336,Ireland,2016,Day 28-364,59.0
8340,Israel,1990,Day 28-364,354.0
8366,Israel,2016,Day 28-364,182.0
8370,Italy,1990,Day 28-364,1465.0
8396,Italy,2016,Day 28-364,427.0
8400,Jamaica,1990,Day 28-364,348.0
8426,Jamaica,2016,Day 28-364,66.0
8430,Japan,1990,Day 28-364,2403.0
8456,Japan,2016,Day 28-364,989.0
8460,Jordan,1990,Day 28-364,1446.0
8486,Jordan,2016,Day 28-364,1059.0
8490,Kazakhstan,1990,Day 28-364,5680.0
8516,Kazakhstan,2016,Day 28-364,1695.0
8520,Kenya,1990,Day 28-364,36591.0
8546,Kenya,2016,Day 28-364,18316.0
8550,Kiribati,1990,Day 28-364,73.0
8576,Kiribati,2016,Day 28-364,35.0
8580,Kuwait,1990,Day 28-364,232.0
8606,Kuwait,2016,Day 28-364,171.0
8610,Kyrgyzstan,1990,Day 28-364,2038.0
8636,Kyrgyzstan,2016,Day 28-364,693.0
8640,Laos,1990,Day 28-364,11635.0
8666,Laos,2016,Day 28-364,3438.0
8670,Latvia,1990,Day 28-364,163.0
8696,Latvia,2016,Day 28-364,29.0
8700,Lebanon,1990,Day 28-364,1121.0
8726,Lebanon,2016,Day 28-364,393.0
8730,Lesotho,1990,Day 28-364,2051.0
8756,Lesotho,2016,Day 28-364,1233.0
8760,Liberia,1990,Day 28-364,7685.0
8786,Liberia,2016,Day 28-364,3149.0
8790,Libya,1990,Day 28-364,2000.0
8816,Libya,2016,Day 28-364,270.0
8820,Lithuania,1990,Day 28-364,233.0
8846,Lithuania,2016,Day 28-364,53.0
8850,Luxembourg,1990,Day 28-364,16.0
8876,Luxembourg,2016,Day 28-364,4.0
8880,Madagascar,1990,Day 28-364,26046.0
8906,Madagascar,2016,Day 28-364,17550.0
8910,Malawi,1990,Day 28-364,32352.0
8936,Malawi,2016,Day 28-364,10555.0
8940,Malaysia,1990,Day 28-364,2369.0
8966,Malaysia,2016,Day 28-364,986.0
8970,Maldives,1990,Day 28-364,157.0
8996,Maldives,2016,Day 28-364,44.0
9000,Mali,1990,Day 28-364,26165.0
9026,Mali,2016,Day 28-364,28343.0
9030,Malta,1990,Day 28-364,13.0
9056,Malta,2016,Day 28-364,6.0
